list,rank,name,stars,delta,is_new,score,verified,category,created,pushed,url
category:视觉:stars,1,anywhere-labs/dsh-desktop,25574,304,0,3,1,视觉,2026-08-13T16:30:50Z,2026-09-10T14:54:10Z,https://github.com/anywhere-labs/dsh-desktop
category:视觉:stars,2,dsh-market/dsh-market,3656,54,0,3,1,视觉,2026-08-14T04:58:15Z,2026-09-09T03:22:22Z,https://github.com/dsh-market/dsh-market
category:视觉:stars,3,ccch1mneyyy/dsh-TUI,2958,20,0,3,1,视觉,2026-08-13T12:49:31Z,2026-09-11T09:22:44Z,https://github.com/ccch1mneyyy/dsh-TUI
category:视觉:stars,4,MeteorNOX/DeepSeek-Balance-Whale-Widget,2126,53,0,3,1,视觉,2026-08-18T03:13:51Z,2026-08-24T17:14:19Z,https://github.com/MeteorNOX/DeepSeek-Balance-Whale-Widget
category:视觉:stars,5,Small-tailqwq/dsh-deep-whale,2011,14,0,1,0,视觉,2026-08-13T13:02:14Z,2026-09-11T08:55:07Z,https://github.com/Small-tailqwq/dsh-deep-whale
category:视觉:stars,6,dsh-tauri-desk/deepseek-harness-desktop,1926,27,0,3,1,视觉,2026-08-14T02:36:29Z,2026-09-11T08:20:53Z,https://github.com/dsh-tauri-desk/deepseek-harness-desktop
category:视觉:stars,7,bowenliang123/dsh-context,1333,9,0,3,1,视觉,2026-08-14T08:23:28Z,2026-09-11T08:21:11Z,https://github.com/bowenliang123/dsh-context
category:视觉:stars,8,ysr666/dsh-vision-router,1095,-2,0,3,1,视觉,2026-08-13T18:57:47Z,2026-09-11T10:20:58Z,https://github.com/ysr666/dsh-vision-router
category:视觉:stars,9,Devin-AXIS/deepseek-design,987,24,0,1,0,视觉,2026-08-15T13:08:53Z,2026-09-04T10:40:28Z,https://github.com/Devin-AXIS/deepseek-design
category:视觉:stars,10,Anionex/dsh-vision-toolkit,873,0,0,3,1,视觉,2026-08-13T12:36:34Z,2026-09-10T08:18:43Z,https://github.com/Anionex/dsh-vision-toolkit
category:视觉:delta,1,anywhere-labs/dsh-desktop,25574,304,0,3,1,视觉,2026-08-13T16:30:50Z,2026-09-10T14:54:10Z,https://github.com/anywhere-labs/dsh-desktop
category:视觉:delta,2,dsh-market/dsh-market,3656,54,0,3,1,视觉,2026-08-14T04:58:15Z,2026-09-09T03:22:22Z,https://github.com/dsh-market/dsh-market
category:视觉:delta,3,MeteorNOX/DeepSeek-Balance-Whale-Widget,2126,53,0,3,1,视觉,2026-08-18T03:13:51Z,2026-08-24T17:14:19Z,https://github.com/MeteorNOX/DeepSeek-Balance-Whale-Widget
category:视觉:delta,4,dsh-tauri-desk/deepseek-harness-desktop,1926,27,0,3,1,视觉,2026-08-14T02:36:29Z,2026-09-11T08:20:53Z,https://github.com/dsh-tauri-desk/deepseek-harness-desktop
category:视觉:delta,5,Devin-AXIS/deepseek-design,987,24,0,1,0,视觉,2026-08-15T13:08:53Z,2026-09-04T10:40:28Z,https://github.com/Devin-AXIS/deepseek-design
category:视觉:delta,6,jingyunstudio/jingyun-dsh,256,21,0,,0,视觉,2026-08-27T11:28:30Z,2026-09-11T07:26:29Z,https://github.com/jingyunstudio/jingyun-dsh
category:视觉:delta,7,ccch1mneyyy/dsh-TUI,2958,20,0,3,1,视觉,2026-08-13T12:49:31Z,2026-09-11T09:22:44Z,https://github.com/ccch1mneyyy/dsh-TUI
category:视觉:delta,8,Small-tailqwq/dsh-deep-whale,2011,14,0,1,0,视觉,2026-08-13T13:02:14Z,2026-09-11T08:55:07Z,https://github.com/Small-tailqwq/dsh-deep-whale
category:视觉:delta,9,PC2005-cloud/dsh-pet,603,11,0,1,0,视觉,2026-08-14T00:38:45Z,2026-09-11T08:28:13Z,https://github.com/PC2005-cloud/dsh-pet
category:视觉:delta,10,ningbainb/deepseek-harness-desktop,467,11,0,3,1,视觉,2026-08-13T19:50:01Z,2026-09-09T00:46:42Z,https://github.com/ningbainb/deepseek-harness-desktop
category:视觉:active,1,omdsh-dev/dsh-genui,435,6,0,3,1,视觉,2026-08-13T13:07:52Z,2026-09-11T10:27:32Z,https://github.com/omdsh-dev/dsh-genui
category:视觉:active,2,ChisaAlter/Deepseek-Harness-Desktop,160,0,0,,0,视觉,2026-08-13T13:21:50Z,2026-09-11T10:21:12Z,https://github.com/ChisaAlter/Deepseek-Harness-Desktop
category:视觉:active,3,ysr666/dsh-vision-router,1095,-2,0,3,1,视觉,2026-08-13T18:57:47Z,2026-09-11T10:20:58Z,https://github.com/ysr666/dsh-vision-router
category:视觉:active,4,kelai141/dsh-mobile-apk,351,5,0,1,0,视觉,2026-08-13T23:55:34Z,2026-09-11T09:33:02Z,https://github.com/kelai141/dsh-mobile-apk
category:视觉:active,5,Clarklevis1995/dsh-mobile,263,5,0,,0,视觉,2026-08-17T15:52:40Z,2026-09-11T09:28:51Z,https://github.com/Clarklevis1995/dsh-mobile
category:视觉:active,6,ccch1mneyyy/dsh-TUI,2958,20,0,3,1,视觉,2026-08-13T12:49:31Z,2026-09-11T09:22:44Z,https://github.com/ccch1mneyyy/dsh-TUI
category:视觉:active,7,Small-tailqwq/dsh-deep-whale,2011,14,0,1,0,视觉,2026-08-13T13:02:14Z,2026-09-11T08:55:07Z,https://github.com/Small-tailqwq/dsh-deep-whale
category:视觉:active,8,PC2005-cloud/dsh-pet,603,11,0,1,0,视觉,2026-08-14T00:38:45Z,2026-09-11T08:28:13Z,https://github.com/PC2005-cloud/dsh-pet
category:视觉:active,9,bowenliang123/dsh-context,1333,9,0,3,1,视觉,2026-08-14T08:23:28Z,2026-09-11T08:21:11Z,https://github.com/bowenliang123/dsh-context
category:视觉:active,10,dsh-tauri-desk/deepseek-harness-desktop,1926,27,0,3,1,视觉,2026-08-14T02:36:29Z,2026-09-11T08:20:53Z,https://github.com/dsh-tauri-desk/deepseek-harness-desktop
