generated_at,window_start,window_end,total_plugins,non_fork_plugins,count_source,new_8h_repos,official_stars,official_forks,npm_weekly_downloads,npm_daily,npm_daily_date,delta_8h_stars,health_score,stale_7d,stale_1d,total_tracked
2026-08-16T18:17:34Z,2026-08-16T10:12:34Z,2026-08-16T18:17:34Z,5524,,,646,129710,12949,195945,,,,99,45,2835,5524
2026-08-16T23:47:16Z,2026-08-16T15:42:16Z,2026-08-16T23:47:16Z,5701,5636,topics-page,297,131087,13130,195945,,,1377,99,45,2968,5636
2026-08-17T01:38:25Z,2026-08-16T17:33:25Z,2026-08-17T01:38:25Z,5763,5699,topics-page,160,133224,13380,195945,,,2137,99,46,2996,5699
2026-08-17T09:48:38Z,2026-08-17T01:43:38Z,2026-08-17T09:48:38Z,6296,6223,topics-page,371,143918,14648,195945,,,10694,99,51,3472,6223
2026-08-17T15:07:02Z,2026-08-17T07:02:02Z,2026-08-17T15:07:02Z,6615,6540,topics-page,367,147293,15041,195945,,,3375,76,52,3939,6540
2026-08-17T15:32:32Z,2026-08-17T07:27:32Z,2026-08-17T15:32:32Z,6629,6554,topics-page,359,147550,15076,195945,,,257,87,52,3993,6554
2026-08-17T17:18:55Z,2026-08-17T09:13:55Z,2026-08-17T17:18:55Z,6691,6616,topics-page,312,148347,15170,195945,,,797,87,52,4197,6616
2026-08-17T22:16:43Z,2026-08-17T14:11:43Z,2026-08-17T22:16:43Z,6767,6692,topics-page,146,149495,15316,195945,,,1148,80,52,4304,6692
2026-08-17T23:53:40Z,2026-08-17T15:48:40Z,2026-08-17T23:53:40Z,6785,6708,topics-page,97,149769,15350,195945,,,274,75,52,4328,6708
2026-08-18T05:09:06Z,2026-08-17T21:04:06Z,2026-08-18T05:09:06Z,6959,6880,topics-page,124,153255,15835,195945,,,3486,77,51,4604,6880
2026-08-18T06:36:43Z,2026-08-17T22:31:43Z,2026-08-18T06:36:43Z,7030,6950,topics-page,168,154222,15950,195945,,,967,81,52,4711,6950
2026-08-18T07:03:56Z,2026-08-17T22:58:56Z,2026-08-18T07:03:56Z,7055,6975,topics-page,183,154589,15991,195945,,,367,82,52,4742,6975
2026-08-18T07:06:35Z,2026-08-17T23:01:35Z,2026-08-18T07:06:35Z,7055,6975,topics-page,183,154616,15995,195945,,,27,82,52,4746,6975
2026-08-18T09:51:57Z,2026-08-18T01:46:57Z,2026-08-18T09:51:57Z,7206,7123,topics-page,274,156557,16254,195945,,,1941,87,53,4951,7123
2026-08-18T09:53:48Z,2026-08-18T01:48:48Z,2026-08-18T09:53:48Z,7207,7124,topics-page,275,156572,16257,195945,,,15,87,53,4964,7124
2026-08-18T10:09:34Z,2026-08-18T02:04:34Z,2026-08-18T10:09:34Z,7214,7131,topics-page,276,156748,16277,195945,,,176,87,53,4964,7131
2026-08-18T10:18:05Z,2026-08-18T02:13:05Z,2026-08-18T10:18:05Z,7135,7135,search-fallback,274,156801,16287,195945,,,53,87,53,4968,7135
2026-08-18T10:19:23Z,2026-08-18T02:14:23Z,2026-08-18T10:19:23Z,7135,7135,search-fallback,271,156809,16289,195945,114821,,8,87,53,4968,7135
2026-08-18T10:21:40Z,2026-08-18T02:16:40Z,2026-08-18T10:21:40Z,7135,7135,search-fallback,271,156822,16290,195945,114821,,13,87,53,4968,7135
2026-08-18T10:43:57Z,2026-08-18T02:38:57Z,2026-08-18T10:43:57Z,7230,7147,topics-page,270,156975,16304,195945,130993,2026-08-17,153,87,53,4981,7147
2026-08-18T14:26:44Z,2026-08-18T06:21:44Z,2026-08-18T14:26:44Z,7371,7285,topics-page,249,158564,16512,195945,130993,2026-08-17,1589,87,54,5200,7285
2026-08-18T17:22:01Z,2026-08-18T09:17:01Z,2026-08-18T17:22:01Z,7515,7428,topics-page,230,159466,16647,195945,130993,2026-08-17,902,85,70,5348,7428
2026-08-18T17:48:27Z,2026-08-18T09:43:27Z,2026-08-18T17:48:27Z,7524,7437,topics-page,222,159536,16658,195945,130993,2026-08-17,70,84,70,5348,7437
2026-08-18T17:57:28Z,2026-08-18T09:52:28Z,2026-08-18T17:57:28Z,7526,7439,topics-page,220,159568,16661,195945,130993,2026-08-17,32,84,70,5348,7439
2026-08-18T22:14:44Z,2026-08-18T14:09:44Z,2026-08-18T22:14:44Z,7495,7495,search-fallback,155,160120,16742,195945,130993,2026-08-17,552,79,72,5400,7495
2026-08-19T06:34:53Z,2026-08-18T22:29:53Z,2026-08-19T06:34:53Z,7770,7681,topics-page,123,162785,17167,195945,130993,2026-08-17,2665,76,72,5697,7681
2026-08-19T06:38:16Z,2026-08-18T22:33:16Z,2026-08-19T06:38:16Z,7775,7686,topics-page,127,162808,17171,195945,130993,2026-08-17,23,76,72,5698,7686
